ts_code,name,list_date,list_status,total_mv,popularity_ranking
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
300767.SZ,震安科技,2019-03-29 00:00:00,L,318839.8463,83
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
003010.SZ,若羽臣,2020-09-25 00:00:00,L,737809.216,92
300611.SZ,美力科技,2017-02-20 00:00:00,L,672695.0052,95
300611.SZ,美力科技,2017-02-20 00:00:00,L,672695.0052,95
300611.SZ,美力科技,2017-02-20 00:00:00,L,672695.0052,95
300611.SZ,美力科技,2017-02-20 00:00:00,L,672695.0052,95
300611.SZ,美力科技,2017-02-20 00:00:00,L,672695.0052,95
300611.SZ,美力科技,2017-02-20 00:00:00,L,672695.0052,95
300611.SZ,美力科技,2017-02-20 00:00:00,L,672695.0052,95
300611.SZ,美力科技,2017-02-20 00:00:00,L,672695.0052,95
300611.SZ,美力科技,2017-02-20 00:00:00,L,672695.0052,95
300611.SZ,美力科技,2017-02-20 00:00:00,L,672695.0052,95
300611.SZ,美力科技,2017-02-20 00:00:00,L,672695.0052,95
300611.SZ,美力科技,2017-02-20 00:00:00,L,672695.0052,95
300611.SZ,美力科技,2017-02-20 00:00:00,L,672695.0052,95
300611.SZ,美力科技,2017-02-20 00:00:00,L,672695.0052,95
300611.SZ,美力科技,2017-02-20 00:00:00,L,672695.0052,95
300611.SZ,美力科技,2017-02-20 00:00:00,L,672695.0052,95
300611.SZ,美力科技,2017-02-20 00:00:00,L,672695.0052,95
300611.SZ,美力科技,2017-02-20 00:00:00,L,672695.0052,95
300611.SZ,美力科技,2017-02-20 00:00:00,L,672695.0052,95
